Year,Locationdesc,Response,Total_SS_Loc,latitude,longitude,Percentage_Loc,Sample_Size
2011,Alabama,No,44448,32.840571122,-86.631860762,80.45,35757
2011,Alabama,Yes,44448,32.840571122,-86.631860762,19.55,8691
2011,Alaska,No,20510,64.845079957001,-147.722059036,78.92,16188
2011,Alaska,Yes,20510,64.845079957001,-147.722059036,21.05,4322
2011,Arizona,No,37558,34.86597028,-111.763811277,84.03,31558
2011,Arizona,Yes,37558,34.86597028,-111.763811277,15.98,6000
2011,Arkansas,No,27490,34.748650124,-92.274490743,80.16,22041
2011,Arkansas,Yes,27490,34.748650124,-92.274490743,19.79,5449
2011,California,No,106134,37.638640123,-120.999999538,88.53,93972
2011,California,Yes,106134,37.638640123,-120.999999538,11.48,12162
2011,Colorado,No,79064,38.843840757,-106.133610921,85.46,67568
2011,Colorado,Yes,79064,38.843840757,-106.133610921,14.55,11496
2011,Connecticut,No,39630,41.56266102,-72.649840952,85.84,34021
2011,Connecticut,Yes,39630,41.56266102,-72.649840952,14.12,5609
2011,Delaware,No,27732,39.008830667,-75.577741168,82.27,22813
2011,Delaware,Yes,27732,39.008830667,-75.577741168,17.72,4919
2011,District of Columbia,No,26448,38.890371385,-77.031961127,84.69,22399
2011,District of Columbia,Yes,26448,38.890371385,-77.031961127,15.32,4049
2011,Florida,No,71773,28.932040377,-81.928960539,83.05,59590
2011,Florida,Yes,71773,28.932040377,-81.928960539,16.99,12183
2011,Georgia,No,57729,32.839681093,-83.627580346,83.66,48281
2011,Georgia,Yes,57729,32.839681093,-83.627580346,16.38,9448
2011,Guam,No,10846,13.444304,144.793731,73.37,7958
2011,Guam,Yes,10846,13.444304,144.793731,26.64,2888
2011,Hawaii,No,44641,21.304850435,-157.857749403,86.21,38502
2011,Hawaii,Yes,44641,21.304850435,-157.857749403,13.75,6139
2011,Idaho,No,35490,43.682630005,-114.363730042,85.83,30467
2011,Idaho,Yes,35490,43.682630005,-114.363730042,14.18,5023
2011,Illinois,No,32494,40.485010283,-88.997710178,83.72,27209
2011,Illinois,Yes,32494,40.485010283,-88.997710178,16.27,5285
2011,Indiana,No,49178,39.766910452,-86.149960194,79.26,38972
2011,Indiana,Yes,49178,39.766910452,-86.149960194,20.78,10206
2011,Iowa,No,42783,42.469400913,-93.816490556,83.76,35836
2011,Iowa,Yes,42783,42.469400913,-93.816490556,16.23,6947
2011,Kansas,No,120672,38.3477403,-98.200781227,82.73,99840
2011,Kansas,Yes,120672,38.3477403,-98.200781227,17.3,20832
2011,Kentucky,No,61357,37.645970271,-84.774971048,76.38,46877
2011,Kentucky,Yes,61357,37.645970271,-84.774971048,23.6,14480
2011,Louisiana,No,63405,31.312660644,-92.445680071,79.95,50699
2011,Louisiana,Yes,63405,31.312660644,-92.445680071,20.05,12706
2011,Maine,No,77343,45.254228894001,-68.985031336,83.09,64277
2011,Maine,Yes,77343,45.254228894001,-68.985031336,16.9,13066
2011,Maryland,No,58583,39.290580964,-76.609260111,85.23,49942
2011,Maryland,Yes,58583,39.290580964,-76.609260111,14.770000000000001,8641
2011,Massachusetts,No,128754,42.27687047,-72.082690675,83.52,107544
2011,Massachusetts,Yes,128754,42.27687047,-72.082690675,16.47,21210
2011,Michigan,No,64370,44.661319543001,-84.71439027,81.83,52659
2011,Michigan,Yes,64370,44.661319543001,-84.71439027,18.16,11711
2011,Minnesota,No,89732,46.355648736,-94.794200503,83.76,75187
2011,Minnesota,Yes,89732,46.355648736,-94.794200503,16.21,14545
2011,Mississippi,No,51836,32.745510099,-89.538030825,80.18,41561
2011,Mississippi,Yes,51836,32.745510099,-89.538030825,19.83,10275
2011,Missouri,No,37241,38.635790776,-92.566300053,78.46,29213
2011,Missouri,Yes,37241,38.635790776,-92.566300053,21.54,8028
2011,Montana,No,60202,47.066528972,-109.424420645,81.65,49181
2011,Montana,Yes,60202,47.066528972,-109.424420645,18.32,11021
2011,Nebraska,No,148842,41.641040988001,-99.365720623,83.32,123997
2011,Nebraska,Yes,148842,41.641040988001,-99.365720623,16.669999999999998,24845
2011,Nevada,No,31955,39.49324039,-117.071840564,80.15,25614
2011,Nevada,Yes,31955,39.49324039,-117.071840564,19.86,6341
2011,New Hampshire,No,39375,43.655950113,-71.50036092,84.88,33421
2011,New Hampshire,Yes,39375,43.655950113,-71.50036092,15.13,5954
2011,New Jersey,No,88742,40.130570048,-74.273691288,85.0,75418
2011,New Jersey,Yes,88742,40.130570048,-74.273691288,15.01,13324
2011,New Mexico,No,55013,34.520880952,-106.240580985,82.16,45203
2011,New Mexico,Yes,55013,34.520880952,-106.240580985,17.82,9810
2011,New York,No,44661,42.827001032,-75.543970427,84.13,37574
2011,New York,Yes,44661,42.827001032,-75.543970427,15.88,7087
2011,North Carolina,No,66844,35.466220975,-79.159250463,82.3,55002
2011,North Carolina,Yes,66844,35.466220975,-79.159250463,17.68,11842
2011,North Dakota,No,30877,47.475319779,-100.118421049,83.59,25814
2011,North Dakota,Yes,30877,47.475319779,-100.118421049,16.39,5063
2011,Ohio,No,57525,40.060210141,-82.404260056,79.72,45851
2011,Ohio,Yes,57525,40.060210141,-82.404260056,20.29,11674
2011,Oklahoma,No,49997,35.472031356,-97.521070214,78.02,39023
2011,Oklahoma,Yes,49997,35.472031356,-97.521070214,21.96,10974
2011,Oregon,No,36372,44.567449424,-120.155031326,84.15,30596
2011,Oregon,Yes,36372,44.567449424,-120.155031326,15.88,5776
2011,Pennsylvania,No,66603,40.793730152,-77.860700294,80.36,53513
2011,Pennsylvania,Yes,66603,40.793730152,-77.860700294,19.66,13090
2011,Puerto Rico,No,38555,18.220833,-66.590149,89.55,34530
2011,Puerto Rico,Yes,38555,18.220833,-66.590149,10.46,4025
2011,Rhode Island,No,37827,41.708280193,-71.522470314,83.67,31649
2011,Rhode Island,Yes,37827,41.708280193,-71.522470314,16.32,6178
2011,South Carolina,No,74813,33.998821303,-81.045371207,81.52,60994
2011,South Carolina,Yes,74813,33.998821303,-81.045371207,18.48,13819
2011,South Dakota,No,48111,44.353130053,-100.373530637,81.93,39422
2011,South Dakota,Yes,48111,44.353130053,-100.373530637,18.08,8689
2011,Tennessee,No,33855,35.68094058,-85.774490914,80.47,27242
2011,Tennessee,Yes,33855,35.68094058,-85.774490914,19.56,6613
2011,Texas,No,86722,31.827240407,-99.426770206,85.25,73953
2011,Texas,Yes,86722,31.827240407,-99.426770206,14.719999999999999,12769
2011,Utah,No,73978,39.360700171,-111.587130635,89.92,66533
2011,Utah,Yes,73978,39.360700171,-111.587130635,10.09,7445
2011,Vermont,No,41293,43.625381239,-72.517640791,85.89,35461
2011,Vermont,Yes,41293,43.625381239,-72.517640791,14.13,5832
2011,Virginia,No,38274,37.542680674,-78.457890463,82.56,31617
2011,Virginia,Yes,38274,37.542680674,-78.457890463,17.4,6657
2011,Washington,No,85910,47.522278629,-120.47001079,86.33,74187
2011,Washington,Yes,85910,47.522278629,-120.47001079,13.62,11723
2011,West Virginia,No,30706,38.665510202,-80.712640135,76.01,23352
2011,West Virginia,Yes,30706,38.665510202,-80.712640135,23.92,7354
2011,Wisconsin,No,30966,44.393191174,-89.816370742,82.05,25414
2011,Wisconsin,Yes,30966,44.393191174,-89.816370742,17.93,5552
2011,Wyoming,No,40077,43.235541343,-108.109830353,81.61,32722
2011,Wyoming,Yes,40077,43.235541343,-108.109830353,18.31,7355
2012,Alabama,No,51760,32.840571122,-86.631860762,81.37,42142
2012,Alabama,Yes,51760,32.840571122,-86.631860762,18.580000000000002,9618
2012,Alaska,No,24945,64.845079957001,-147.722059036,80.23,20021
2012,Alaska,Yes,24945,64.845079957001,-147.722059036,19.73,4924
2012,Arizona,No,41609,34.86597028,-111.763811277,84.68,35233
2012,Arizona,Yes,41609,34.86597028,-111.763811277,15.32,6376
2012,Arkansas,No,29534,34.748650124,-92.274490743,79.84,23575
2012,Arkansas,Yes,29534,34.748650124,-92.274490743,20.15,5959
2012,California,No,85556,37.638640123,-120.999999538,88.72,75916
2012,California,Yes,85556,37.638640123,-120.999999538,11.27,9640
2012,Colorado,No,68369,38.843840757,-106.133610921,85.08,58160
2012,Colorado,Yes,68369,38.843840757,-106.133610921,14.959999999999999,10209
2012,Connecticut,No,50181,41.56266102,-72.649840952,86.18,43249
2012,Connecticut,Yes,50181,41.56266102,-72.649840952,13.790000000000001,6932
2012,Delaware,No,30137,39.008830667,-75.577741168,83.24,25089
2012,Delaware,Yes,30137,39.008830667,-75.577741168,16.78,5048
